Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Pride,"Dihedrals > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106576053/pride,2.5,-1,TR,5.5,1,60,38.99207,-77.24862
"Gutter Ball","A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/107784701/gutter-ball,2.5,-1,"Trad, Sport",5.5,1,,37.5296,-77.4459
"Dark Corner","Aid Box > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/107508872/dark-corner,1.9,-1,TR,5.5,1,,38.98854,-77.24734
"Smells Like Quarantine Spirit","Yawn Wall > El Nap > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/118774096/smells-like-quarantine-spirit,3.1,-1,Trad,"5.5 R",3,330,38.86643,-77.04602
"The Crack","Beginner Slab > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108952445/the-crack,2.2,-1,"Trad, TR",5.5,1,60,37.90612,-78.93727
"Three Amigos Double Direct","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107359658/three-amigos-double-direct,2.1,-1,Trad,5.5,1,70,38.9422,-78.3017
Prejudice,"Dihedrals > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106576060/prejudice,2.1,-1,TR,5.5,1,60,38.99207,-77.24862
"Gap Mtn. SW Ridge II Direct","Ridge II Headwall > Ridge II > The Junction > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/119454049/gap-mtn-sw-ridge-ii-direct,3.0,-1,Trad,5.5,1,50,37.24508,-80.60516
"Balcony Corner","Juliet's Balcony - Upper Balcony area > Juliet's Balcony > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106576232/balcony-corner,2.0,-1,TR,5.5,1,25,38.99127,-77.24831
"Delivery Room","Romeo's Ladder > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109570273/delivery-room,2.3,-1,"Trad, TR",5.5,1,45,38.98922,-77.24759
"El Gordo","Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/118725484/el-gordo,2.4,-1,Trad,5.5,1,60,38.9422,-78.3017
Spoon,"Quarry > Belle Isle > Richmond Vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118347490/spoon,2.5,-1,TR,5.5,1,30,37.52831,-77.4559
"Fear of the Gumby","Self Potential Wall > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108952691/fear-of-the-gumby,2.0,-1,Trad,5.5,1,45,37.90597,-78.93764
"Ledges to Heaven","First Trestle/Practice Wall > The Trestles > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/106890654/ledges-to-heaven,2.5,-1,TR,5.5,1,25,37.3559,-79.4164
"Keyhole Right","Skyline Wall (PATC Wall) > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/110895199/keyhole-right,2.1,-1,Trad,5.5,1,65,38.5517,-78.3115
Doublecrack,"Hidden Cracks - LEFT Sector > Hidden Cracks > Hidden Rocks > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/110972559/doublecrack,2.6,-1,Trad,5.5,1,35,38.44809,-79.12193
"Zig Zag Edge","Seclusion > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/107162591/zig-zag-edge,2.0,-1,"Trad, TR",5.5,1,60,38.98996,-77.24799
"Stan's Lead","Seclusion > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109570143/stans-lead,1.9,-1,"Trad, TR",5.5,1,50,38.98996,-77.24799
"Five Fun","Sunspots Slab > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/113970151/five-fun,2.0,-1,Trad,"5.5 R",4,475,37.84176,-79.06679
"Take Five","Dihedrals > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106951515/take-five,2.0,-1,TR,5.5,1,40,38.99207,-77.24862
"Heather's Rear End","Main Crag > Love Gap > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/120018973/heathers-rear-end,2.0,-1,Trad,5.5,1,55,37.87602,-79.01713
"Red Tape","First Trestle/Practice Wall > The Trestles > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/106890614/red-tape,2.0,-1,TR,5.5,1,25,37.3559,-79.4164
Bikini,"Flat Iron > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/106854533/bikini,2.0,-1,TR,5.5,1,35,38.9946,-77.25
"Stairway to Heaven","Hidden Cracks - LEFT Sector > Hidden Cracks > Hidden Rocks > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/111858248/stairway-to-heaven,3.0,-1,"Trad, TR",5.5,1,,38.44809,-79.12193
"Easy Street","The Spot > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/113972324/easy-street,2.0,-1,"Trad, TR","5.5 R",1,90,37.84158,-79.06637
Sneakers,"Juliet's Balcony: Upstream > Juliet's Balcony > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/112779547/sneakers,2.0,-1,"Trad, TR",5.5,1,30,38.99144,-77.24837
"Flat Iron Corner","Flat Iron > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109575424/flat-iron-corner,2.0,-1,"Trad, TR",5.5,1,25,38.9946,-77.25
"Chris' Crack and Stocking Climb","Flat Iron > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109576992/chris-crack-and-stocking-climb,2.0,-1,"Trad, TR",5.5,1,30,38.9946,-77.25
"Glass Corner","The Dike Creek Area > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/109570676/glass-corner,2.0,-1,"Trad, TR",5.5,1,30,38.99169,-77.24841
"The Insignificant One - Variation: Left side","Downstream Climbs > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/110507132/the-insignificant-one-variation-left-side,2.0,-1,"Trad, TR","5.5 PG13",1,50,38.98537,-77.24613
"Five Lined Skink","Hidden Roofs > Hidden Rocks > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/124116265/five-lined-skink,2.7,-1,"Trad, TR",5.5,1,45,38.44809,-79.12193
