Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Direct North Ridge","Mt Stuart > Stuart-Enchantments > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106245725/direct-north-ridge,3.9,-1,"Trad, Alpine",5.9+,20,2800,47.4773,-120.9022
"East Face","Lexington Tower > Liberty Bell Group > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/106482011/east-face,3.4,-1,"Trad, Alpine",5.9+,10,800,48.5144,-120.6575
"Celestial Groove","Pearly Gates > Snow Creek Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105791954/celestial-groove,3.4,-1,Trad,5.9+,1,,47.53632,-120.71457
"Damnation Crack","Upper Castle > Castle Rock > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105809780/damnation-crack,3.3,-1,Trad,5.9+,1,80,47.59968,-120.71235
"Steel Grill","(c) King Pins > Sunshine Wall > Echo Basin > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106377858/steel-grill,3.0,-1,Trad,5.9+,1,80,47.02296,-119.97362
"Wet Dream","Private Idaho > Lookout Point Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/108177373/wet-dream,2.9,-1,Trad,5.9+,1,80,47.825,-121.55807
"Elation at the End of Eternity","Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105798604/elation-at-the-end-of-eternity,2.8,-1,Sport,5.9+,2,135,47.42952,-121.62058
"Ellie's Sweet Kiss","Eastern Block > Interstate Park > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106523720/ellies-sweet-kiss,2.8,-1,Sport,5.9+,1,75,47.43073,-121.62087
"The Big Easy","(a) Blackstone > British Aisles/Repo Rocks Group > Exit 32; Little Si > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105827418/the-big-easy,2.7,-1,Sport,5.9+,1,90,47.49638,-121.75503
"The Dihedral","Main Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/106198776/the-dihedral,3.2,-1,"Trad, TR",5.9+,1,80,47.68751,-117.32723
"Spring Fall","K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107254730/spring-fall,2.3,-1,Trad,5.9+,1,65,47.81867,-121.57402
Hamster,"(c) Smee > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/105854040/hamster,2.5,-1,Sport,5.9+,1,60,47.43536,-121.63211
Sobriety,"We Did Rock > Deception Crags > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106579528/sobriety,2.0,-1,Sport,5.9+,1,65,47.43441,-121.65881
"Behind the Tombstone","(a) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117064979/behind-the-tombstone,2.6,-1,Sport,5.9+,1,50,47.81692,-121.57748
"Thriller Pillar","Orange Sunshine area > Royal Columns > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/107192057/thriller-pillar,2.7,-1,Sport,5.9+,1,70,46.72461,-120.80957
"Straight Street","Off Duty Area > Duty Dome - Warrior Wall - Peek-a-boo Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106008012/straight-street,3.1,-1,"Trad, Sport",5.9+,2,175,47.54862,-120.74704
"Rise Pumpkin Rise","K Cliff > The Side Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107304882/rise-pumpkin-rise,2.4,-1,Trad,5.9+,1,75,47.81867,-121.57402
Waka/Jawaka,"Waka Beach > Elwha River > Olympics & Pacific Coast > Washington",https://www.mountainproject.com/route/113418888/wakajawaka,3.5,-1,Sport,5.9+,1,50,48.09692,-123.55647
"Never Have I Ever Used A Stepstool","Toxic - Tang Area > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114808620/never-have-i-ever-used-a-stepstool,2.3,-1,Trad,5.9+,1,90,47.81897,-121.57569
"Ron Love Verly","OH8 > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/109609819/ron-love-verly,2.8,-1,Sport,5.9+,1,50,45.71055,-121.37375
"Carnage Before Bedtime","Headlight Point > Interstate Park > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107756696/carnage-before-bedtime,2.4,-1,Sport,5.9+,1,50,47.43046,-121.6209
Sinkerville,"Gun Show > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/109607222/sinkerville,2.4,-1,Sport,5.9+,1,70,47.42952,-121.62058
"Chronic Relief","Shady Lane West > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106461969/chronic-relief,2.7,-1,Sport,5.9+,1,60,47.82307,-121.56695
Nettlesome,"Clem's Holler > Clem's Holler Area > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105794275/nettlesome,2.3,-1,Sport,5.9+,2,175,47.58978,-120.68839
"Basalt 'n' Peppa","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/114439033/basalt-n-peppa,2.3,-1,Sport,5.9+,1,50,47.0277,-119.96449
"Lasting Impressions","Powerline Wall > Powerline Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/108280686/lasting-impressions,2.0,-1,Sport,5.9+,1,45,48.45356,-122.62897
"Glass Eye","Purina Crags > Purina and Careno Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108387287/glass-eye,3.1,-1,Trad,5.9+,1,60,47.54647,-120.70713
Hobophobic,"Hobo Gulch > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108045816/hobophobic,2.4,-1,Sport,5.9+,1,100,47.58831,-120.68002
Cryptogram,"Puzzle Palace > Clem's Holler Area > Tumwater Canyon > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105822199/cryptogram,2.8,-1,Sport,5.9+,1,100,47.59186,-120.68569
"Dolphin Chimney","South Early Winters Spire > Liberty Bell Group > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/117509825/dolphin-chimney,4.0,-1,"Trad, Alpine","5.9+ R",1,75,48.51216,-120.65513
"Saffron Spider","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106966819/saffron-spider,2.8,-1,Sport,5.9+,1,60,48.6238,-122.4484
Stamper-Holland,"(D) Narrow Arrow and further right > Lower Town Wall > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118282677/stamper-holland,4.0,-1,Trad,"5.9+ R",4,300,47.81859,-121.57101
"Heart of Stone","Orange Wall > Banks Lake / Northrup Canyon > Central Region > Washington",https://www.mountainproject.com/route/107176077/heart-of-stone,3.2,-1,Sport,5.9+,5,400,47.9019,-119.1164
"In Depth","Morning Rock - Central > Morning Rock > Kettle Valley (Curlew) > Okanogan > Washington",https://www.mountainproject.com/route/108210058/in-depth,4.0,-1,Trad,"5.9+ R",3,240,48.89239,-118.69927
"Ignorance is Bliss","Picnic Table Rock > Banks Lake / Northrup Canyon > Central Region > Washington",https://www.mountainproject.com/route/118938610/ignorance-is-bliss,3.2,-1,Sport,5.9+,1,70,47.86566,-119.08522
"Heart Route","Main Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/106488101/heart-route,2.5,-1,"Trad, Sport, TR",5.9+,1,,47.68751,-117.32723
"Hanky Panky","Crack Wall > Powerline Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/109286767/hanky-panky,2.1,-1,"Sport, TR",5.9+,1,30,48.45422,-122.63045
"The Anthropocene","(a) Beetle Bailey Slab > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/121233152/the-anthropocene,2.6,-1,Sport,5.9+,1,75,47.81692,-121.57748
"Beane's Blast","(b) Lookout Wall > Summit Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/114095005/beanes-blast,2.4,-1,Sport,5.9+,1,50,48.45319,-122.6256
"A Disease Called Life","(a) Corn Wall > Sunshine's Lower Cliffs > Echo Basin > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/107672229/a-disease-called-life,2.4,-1,Sport,5.9+,1,40,47.025,-119.96859
"Million Dollar Foot Bridge","Fee Demo Wall > Stegosaurus Butte > Exit 34; Middle Fork & Taylor River > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107413830/million-dollar-foot-bridge,3.1,-1,Sport,5.9+,1,170,47.54199,-121.5266
"Mystery Tour","Three O'clock Rock > Darrington > Darrington and Mountain Loop Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/114345440/mystery-tour,2.8,-1,Trad,5.9+,5,800,48.15921,-121.61707
