Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"East Face / Rebel Yell","Chianti Spire > Silver Star and Wine Spires > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/106256230/east-face-rebel-yell,3.8,-1,"Trad, Alpine",5.10,6,800,48.55186,-120.59014
"Walking Legend","(c) Walking Legend Wall > Lower Lump Area > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/111127336/walking-legend,3.5,-1,Sport,5.10,3,230,47.81721,-121.57599
Rhinoplasty,"(e) Rhinozone > Fun (Phun) Rocks > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/108185589/rhinoplasty,2.6,-1,Sport,5.10,1,70,48.60536,-120.43262
Orion,"(8) Old School Wall > Ozone > Columbia Gorge > South-West & Tacoma > Washington",https://www.mountainproject.com/route/108241811/orion,2.8,-1,Sport,5.10,1,35,45.56726,-122.21031
"West Chimney","Campanile (aka Three Brick Monoliths) > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118336782/west-chimney,4.0,-1,TR,5.10,1,150,47.65624,-122.30986
"Wild Rosy","Main Wall > Spring Mountain > Darrington > Darrington and Mountain Loop Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/112551198/wild-rosy,4.0,-1,Trad,5.10,5,450,48.09925,-121.34647
"South Face Direct","Art Building > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118334615/south-face-direct,4.0,-1,Trad,5.10,1,45,47.65847,-122.3064
"Northeast Corner","Architecture Hall > University of Washington Campus and Surrounding Areas > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/118334729/northeast-corner,4.0,-1,TR,5.10,1,45,47.6546,-122.31085
"Rotten Crack","Granite Point Roped > Granite Point > Southeast Corner > Washington",https://www.mountainproject.com/route/107113069/rotten-crack,2.7,-1,Sport,5.10,1,40,46.60465,-117.35937
Buzzbomb,"Buzzbomb Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/110576901/buzzbomb,3.3,-1,Trad,5.10,2,200,47.5427,-120.7106
"Bite Me","(b) Croc > Neverland > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/107602277/bite-me,1.9,-1,Sport,5.10,1,40,47.43519,-121.63199
Gunrunner,"Middle Peak > The Gunsight Range > Glacier Peak Wilderness > Darrington and Mountain Loop Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/106402140/gunrunner,3.5,-1,"Trad, Aid, Snow, Alpine","5.10 C1 Easy Snow",18,,48.30639,-120.99403
"Sunday Trundler","Upper Band > Wallula Gap > Southeast Corner > Washington",https://www.mountainproject.com/route/120597721/sunday-trundler,3.3,-1,Sport,5.10,1,50,46.03432,-118.93
"Basic Needs","North Fork Cliff > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/118106411/basic-needs,3.5,-1,Trad,5.10,1,160,46.61107,-121.29636
"The Rock Traverse","UW Rock > Seattle and Seattle Eastside > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/123408177/the-rock-traverse,3.5,-1,TR,5.10,1,130,47.6481,-122.301
"Black Lava Flows","Cliff Drive > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/107230538/black-lava-flows,2.6,-1,"Sport, TR",5.10,1,,47.64739,-117.41954
"Route F","The Sweet Spot > The Matrix > Mazama > Okanogan > Washington",https://www.mountainproject.com/route/114425776/route-f,2.5,-1,Sport,5.10,1,65,48.57836,-120.36623
"Blood Lust","Bend North > The Bend > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/110906417/blood-lust,2.7,-1,Trad,5.10,1,50,46.71777,-120.82977
Obsidian,"The Lighthouse > Upper Wall's Lower Tier and Trail > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/117104257/obsidian,2.8,-1,Trad,5.10,1,55,47.82326,-121.56583
