Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Ecstasy,"South End > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/105910030/ecstasy,3.6,-1,Trad,5.7,3,250,38.83377,-79.36693
"Pleasant Overhangs","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106171582/pleasant-overhangs,3.6,-1,Trad,5.7,3,290,38.83453,-79.36677
Soler,"Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106061731/soler,3.6,-1,Trad,5.7,2,200,38.8344,-79.36659
Ferrovieri,"3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/113785114/ferrovieri,3.6,-1,Sport,5.7,1,100,38.14295,-80.91755
"Dufty's Popoff","Southeast Corner > South Peak - East Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/107265652/duftys-popoff,3.5,-1,Trad,"5.7 PG13",1,130,38.83343,-79.36659
"Green Wall","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/105917255/green-wall,3.3,-1,Trad,5.7,3,,38.83453,-79.36677
"Wendy's Arete","Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107554557/wendys-arete,3.1,-1,"Sport, TR",5.7,1,40,38.2338,-80.8552
"Bee Sting Corner","Southeast Corner > South Peak - East Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/107265681/bee-sting-corner,3.1,-1,Trad,5.7,1,75,38.83343,-79.36659
"Hippie Dreams","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105992273/hippie-dreams,2.9,-1,Sport,5.7,1,75,38.2422,-80.83949
Superman,"Reeds Creek > Eastern WV > West Virginia",https://www.mountainproject.com/route/112368654/superman,3.0,-1,Sport,5.7,1,30,38.785,-79.288
"Easily Flakey","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943747/easily-flakey,2.9,-1,"Trad, TR",5.7,1,80,38.07178,-81.08006
Prune,"South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106267363/prune,2.9,-1,Trad,5.7,2,200,38.83453,-79.36677
"Neck Press","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106456586/neck-press,2.9,-1,Trad,5.7,3,200,38.83453,-79.36677
Bongo,"Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107384080/bongo,2.9,-1,Sport,5.7,1,70,38.2338,-80.8552
"Daisy Cutter","12. Beer Wall > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106406584/daisy-cutter,2.6,-1,Sport,5.7,1,60,38.09026,-81.08717
"Simple J Malarkey","South End > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106455730/simple-j-malarkey,2.7,-1,Trad,5.7,3,160,38.83377,-79.36693
"Butterfly Flake","01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106124184/butterfly-flake,2.5,-1,Sport,5.7,1,40,38.10049,-81.09596
"Shady Lady","01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106138616/shady-lady,2.5,-1,Sport,5.7,1,60,38.10049,-81.09596
"Sand in My Crack (Cuddle Monkey)","3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107792683/sand-in-my-crack-cuddle-monkey,2.4,-1,Trad,5.7,1,50,38.04716,-81.06756
Infatuation,"0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110261733/infatuation,2.3,-1,Sport,5.7,1,60,38.14399,-80.92018
"Bobby D's Bunny","01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106138121/bobby-ds-bunny,2.2,-1,Sport,5.7,1,70,38.10049,-81.09596
"Journey to the Center of the Brain","3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106660052/journey-to-the-center-of-the-brain,2.2,-1,Trad,5.7,1,50,38.05452,-81.03346
"First Aid","Impact Zone > Main Wall > Franklin Gorge > Eastern WV > West Virginia",https://www.mountainproject.com/route/106186718/first-aid,2.2,-1,Sport,5.7,1,40,38.66516,-79.32026
"Horton's Tree","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943689/hortons-tree,2.0,-1,Trad,5.7,1,30,38.07178,-81.08006
"Welcome to Reed's Creek","Reeds Creek > Eastern WV > West Virginia",https://www.mountainproject.com/route/110620722/welcome-to-reeds-creek,2.5,-1,Sport,5.7,1,30,38.785,-79.288
"Beginners Only","3 Maranatha Area > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106570206/beginners-only,1.9,-1,Trad,5.7,1,50,38.07311,-81.07947
"Thais Direct","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106171578/thais-direct,2.6,-1,Trad,5.7,2,,38.83453,-79.36677
Dominaire,"Domino Point > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109175873/dominaire,3.8,-1,Trad,5.7,1,100,38.04684,-81.04953
"Cave Routes  1 and  2","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105943609/cave-routes-1-and-2,2.8,-1,TR,5.7,1,70,38.08299,-81.08043
"Cotton Gin and Tonic","Cotton Top > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106939390/cotton-gin-and-tonic,2.6,-1,Trad,5.7,1,,38.1151,-81.14094
"Second Rule","Reeds Creek > Eastern WV > West Virginia",https://www.mountainproject.com/route/112835359/second-rule,2.4,-1,Sport,5.7,1,70,38.785,-79.288
"Conn's East Lieback Variation","Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/108425267/conns-east-lieback-variation,3.0,-1,Trad,5.7,1,100,38.8344,-79.36659
"Brain Wave","3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106883939/brain-wave,2.1,-1,Trad,5.7,1,70,38.05452,-81.03346
"Dr Taco","Reeds Creek > Eastern WV > West Virginia",https://www.mountainproject.com/route/110620718/dr-taco,1.9,-1,Sport,5.7,1,30,38.785,-79.288
"Seneca Daze","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/106522965/seneca-daze,2.3,-1,Sport,"5.7 PG13",1,75,38.83453,-79.36677
"Le Gourmet Direct","South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia",https://www.mountainproject.com/route/105917520/le-gourmet-direct,2.0,-1,Trad,5.7,1,100,38.83453,-79.36677
