Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rapscallion's Blues","Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105976636/rapscallions-blues,3.8,-1,Trad,5.10c,1,65,38.08299,-81.08043
Kinesthetica,"01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105987545/kinesthetica,3.6,-1,Sport,5.10c,1,90,38.10049,-81.09596
Essence,"Cotton Club > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/117081063/essence,3.2,-1,Sport,5.10c,1,35,38.1138,-81.13935
"First Steps","7. Seven Eleven Wall > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105966939/first-steps,3.2,-1,Sport,5.10c,1,90,38.05238,-81.07272
"Baby With A Nail Gun","Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106818549/baby-with-a-nail-gun,3.1,-1,Sport,5.10c,1,80,38.2422,-80.83949
Alleluja,"4. Third Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/109532099/alleluja,3.0,-1,Sport,5.10c,1,106,38.14336,-80.91556
"Brain Tweezers","3) The Brain > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106023161/brain-tweezers,3.0,-1,Sport,5.10c,1,60,38.05452,-81.03346
"Rodent's Party","3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110967550/rodents-party,2.9,-1,Sport,5.10c,1,65,38.14295,-80.91755
"Can I Do It Till I Need Glasses","G) Diamond Point > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106037604/can-i-do-it-till-i-need-glasses,3.5,-1,Trad,5.10c,1,90,38.05317,-81.05956
"Lady Punk","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106960810/lady-punk,2.7,-1,Sport,5.10c,1,80,38.14319,-80.91967
Chimpanzabubbas,"2 Toxic Hueco Area > Lower Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106765758/chimpanzabubbas,3.1,-1,Trad,5.10c,1,80,38.15323,-80.93233
Maranatha,"3 Maranatha Area > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106175499/maranatha,3.1,-1,Trad,5.10c,1,65,38.07311,-81.07947
