Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Thoroughfare,"08: Two Pines Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105731057/thoroughfare,3.8,-1,"Trad, TR",5.11a,1,50,43.41367,-89.7134
"A Red Recollection","2. Qual Wall > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105966708/a-red-recollection,3.5,-1,Sport,5.11a,1,60,43.03993,-90.10516
"Dakota Farms Cheese","02. Y-Crack Wall > Necedah (Petenwell Rock) > Central > Wisconsin",https://www.mountainproject.com/route/105731138/dakota-farms-cheese,2.7,-1,Sport,5.11a,1,60,44.0442,-90.01954
Cop-Out,"7.1.1 - Railroad Amphitheater > East Bluff 07 - Railroad Tracks > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730355/cop-out,3.6,-1,"Trad, TR",5.11a,1,,43.41812,-89.72723
"Daily Grind","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/105795612/daily-grind,3.0,-1,Sport,5.11a,1,60,45.0196,-92.67418
"Patent Pending","Meader Wall > Grandad Bluff > Central > Wisconsin",https://www.mountainproject.com/route/105794737/patent-pending,3.0,-1,Sport,5.11a,1,,43.81249,-91.20937
"Beginners Demise","15: Pseudo Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730625/beginners-demise,3.4,-1,TR,5.11a,1,,43.41353,-89.71515
Vivesection,"17: Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105731102/vivesection,3.4,-1,Trad,"5.11a R",1,100,43.41353,-89.7158
"Ride the Donkey","Donkey Punch Wall > Grandad Bluff > Central > Wisconsin",https://www.mountainproject.com/route/106428562/ride-the-donkey,3.3,-1,Sport,5.11a,1,45,43.81243,-91.20843
"One Hit Wonder","06. Hell Wall (aka Quarry Wall) > Necedah (Petenwell Rock) > Central > Wisconsin",https://www.mountainproject.com/route/105858986/one-hit-wonder,2.8,-1,Sport,5.11a,1,60,44.04529,-90.02031
"Happy Hunting Grounds","17: Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730907/happy-hunting-grounds,3.6,-1,Trad,"5.11a R",1,90,43.41353,-89.7158
