Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Brown Reason to Live","Meader Wall > Grandad Bluff > Central > Wisconsin",https://www.mountainproject.com/route/105823446/brown-reason-to-live,3.6,-1,Sport,5.12c,1,65,43.81249,-91.20937
"Caesarian West Face","7.2.1 - Birthday Rocks > East Bluff 07 - Railroad Tracks > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730367/caesarian-west-face,3.7,-1,TR,5.12c,1,,43.41722,-89.72695
"Between the Cheeks","7.3 - Horse Rampart > East Bluff 07 - Railroad Tracks > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730397/between-the-cheeks,4.0,-1,TR,5.12c,1,,43.41665,-89.72612
"Midsummer Daydreams","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/105795626/midsummer-daydreams,3.3,-1,Sport,5.12c,1,60,45.0196,-92.67418
"The Good, the Bad, and the Jacked (Direct)","04: Great Chimney Area > 1: Prospect Point Rampart > West Bluff 05 - West Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/109102891/the-good-the-bad-and-the-jacked-direct,3.7,-1,"Trad, TR","5.12c R",1,55,43.4203,-89.73836
"Fox Confessor","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/107782638/fox-confessor,3.1,-1,Sport,5.12c,1,55,45.0196,-92.67418
"Natural Daydreams","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/106922391/natural-daydreams,3.3,-1,Sport,5.12c,1,60,45.0196,-92.67418
"Barely There","Rusty Ring Wall > The Fishin' Crag (Castle Rock South) > South > Wisconsin",https://www.mountainproject.com/route/107636642/barely-there,3.1,-1,Sport,5.12c,1,35,43.04466,-90.51996
"Powerhouse of the Cell","Donkey Punch Wall > Grandad Bluff > Central > Wisconsin",https://www.mountainproject.com/route/118069664/powerhouse-of-the-cell,3.0,-1,Sport,5.12c,1,45,43.81243,-91.20843
"Cypher 2","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/106228278/cypher-2,2.6,-1,Sport,5.12c,1,60,45.0196,-92.67418
"Surf Selection","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/106922362/surf-selection,2.7,-1,Sport,5.12c,1,65,45.0196,-92.67418
"Deustchlander Uber Alles","2. Deutschlander Wall > Cox Hollow > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/105887814/deustchlander-uber-alles,3.0,-1,"Trad, TR",5.12c,1,,43.01432,-90.11362
"The Traverse of the Gods","3. Pavilion Block Bouldering > 1. North Side > High Cliff State Park > Niagara Escarpment & Kettle Moraine > Wisconsin",https://www.mountainproject.com/route/105891259/the-traverse-of-the-gods,2.8,-1,"Boulder, Snow","5.12c V3 Mod. Snow",1,,44.16454,-88.28684
"Fahrenheit 23","2. Qual Wall > Group Camps > Governor Dodge State Park > South > Wisconsin",https://www.mountainproject.com/route/106472711/fahrenheit-23,2.4,-1,Sport,"5.12c PG13",1,60,43.03993,-90.10516
"Midsummer Selection","Willow River State Park > Northwest > Wisconsin",https://www.mountainproject.com/route/106922406/midsummer-selection,2.0,-1,Sport,5.12c,1,65,45.0196,-92.67418
"Milking the Bull","04: Great Chimney Area > 1: Prospect Point Rampart > West Bluff 05 - West Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105847792/milking-the-bull,2.0,-1,TR,5.12c,1,,43.4203,-89.73836
