Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Racing Babies / Lounging Like a Roman","Big Kahuna Pillar > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105856788/racing-babies-lounging-like-a-roman,2.8,-1,Sport,5.10b/c,1,75,44.1479,-107.2578
"Star Spangled Rodeo","C. Wild Horses Wall > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/111071840/star-spangled-rodeo,2.5,-1,Sport,5.10b/c,1,40,42.58499,-108.7366
"Caveat Emptor","Cathedral Buttress > Death Canyon > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/105843833/caveat-emptor,3.8,-1,"Trad, Alpine",5.10b/c,8,1000,43.66063,-110.82348
"Val Thoren Snake Child","The Ice Plant > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107200489/val-thoren-snake-child,2.6,-1,Sport,5.10b/c,1,50,44.10009,-107.28914
"Two Ducks and an Angel","2. Fossil Hill Central > Fossil Hill > Lander Area > Wyoming",https://www.mountainproject.com/route/107785133/two-ducks-and-an-angel,2.8,-1,Sport,5.10b/c,1,80,42.71338,-108.84756
"A Thing of Beauty","Lower Blair II > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105850431/a-thing-of-beauty,3.9,-1,Trad,5.10b/c,1,140,41.18961,-105.39001
"The Devil Wears Latex","G. Cowboy Poetry > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/107190221/the-devil-wears-latex,2.2,-1,Sport,5.10b/c,1,40,42.58494,-108.73151
"Britch adjustment","Lower Remuda > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/113289722/britch-adjustment,2.6,-1,Sport,5.10b/c,1,45,42.59215,-108.73721
"Ride the Shark","The Lunar Surface > Dry Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/110803340/ride-the-shark,3.2,-1,Sport,5.10b/c,2,145,44.0981,-107.2908
"Positive Identification","k. Ex-Girlfriend Enclave of Hate > Valhalla > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/109380093/positive-identification,3.0,-1,Sport,5.10b/c,1,90,44.13973,-107.25794
"Mellow Slide Into Coolsville","Coolsville > Downtown > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107768828/mellow-slide-into-coolsville,2.7,-1,Sport,5.10b/c,1,80,44.12489,-107.25992
S.O.S.,"Grand Wall > Teton Canyon > Wyoming",https://www.mountainproject.com/route/106001262/sos,2.8,-1,Sport,5.10b/c,1,40,43.75533,-110.91315
"Iron Angel","Dark Angel Wall > White Rock > Wyoming",https://www.mountainproject.com/route/111765923/iron-angel,4.0,-1,Trad,"5.10b/c PG13",1,65,43.83714,-104.15137
"Diamond ""K"" Marveling","The Red Clove Wall > Area 5:  Red and White Grotto Walls > Guernsey State Park > Wyoming",https://www.mountainproject.com/route/107994904/diamond-k-marveling,4.0,-1,Sport,5.10b/c,1,60,42.2909,-104.7565
"Tomb Raider","Wango's Workshop > Upper Blair > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/107225705/tomb-raider,2.4,-1,Trad,5.10b/c,3,120,41.20411,-105.37424
"Lamb of Cheese","Cheese Roof > Dry Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/122505271/lamb-of-cheese,3.1,-1,Sport,5.10b/c,1,60,44.0964,-107.292
Gorgon,"Rawlins Uplift: Underworld > Rawlins Area > Wyoming",https://www.mountainproject.com/route/109060128/gorgon,3.0,-1,"Sport, TR",5.10b/c,1,35,41.82282,-107.26846
"Walking on the Moon","The Lunar Surface > Dry Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/110803364/walking-on-the-moon,2.9,-1,Sport,5.10b/c,2,170,44.0981,-107.2908
"Not Quite Stan","Home Alone > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/105853360/not-quite-stan,2.0,-1,Sport,5.10b/c,1,85,44.08704,-107.31112
"Leap Draw","Pooh Corner > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107743321/leap-draw,2.2,-1,Sport,5.10b/c,1,35,44.09044,-107.30599
"A Night Out With A Hamms Honey","Trailside Wall > Piney Creek Canyon > Eastern Big Horns > Wyoming",https://www.mountainproject.com/route/113063983/a-night-out-with-a-hamms-honey,2.7,-1,Sport,5.10b/c,1,60,44.55747,-106.93605
"Wild Thing","Foreign Territory > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105952070/wild-thing,2.6,-1,Trad,5.10b/c,1,60,41.18484,-105.37826
"Le Petit Contreforce","Lower Blair I > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106871793/le-petit-contreforce,3.0,-1,Trad,5.10b/c,1,60,41.18963,-105.38811
"Best of the Blues","Hassler's Hatbox > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/117741569/best-of-the-blues,3.0,-1,Trad,5.10b/c,1,60,41.16232,-105.3772
"Visiting Red Lodge","The Red Clove Wall > Area 5:  Red and White Grotto Walls > Guernsey State Park > Wyoming",https://www.mountainproject.com/route/107494816/visiting-red-lodge,2.7,-1,Sport,5.10b/c,1,55,42.2909,-104.7565
"Seminoe Sam","East Side of Seminoe Mountains > Seminoe Mountains > Rawlins Area > Wyoming",https://www.mountainproject.com/route/109054590/seminoe-sam,3.0,-1,Trad,"5.10b/c R",2,200,42.16982,-106.90344
"Frigid Digits","Shadow Wall > Tongue River Canyon > Eastern Big Horns > Wyoming",https://www.mountainproject.com/route/110187065/frigid-digits,3.0,-1,Sport,5.10b/c,1,80,44.85675,-107.3927
Misfire,"Horse Creek Slabs > Absaroka Range > Wyoming",https://www.mountainproject.com/route/106022510/misfire,3.0,-1,"Sport, Alpine","5.10b/c PG13",1,40,43.654,-109.6195
"Poker Face","End of the Road Rock > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106235554/poker-face,2.6,-1,Trad,5.10b/c,1,35,41.18484,-105.37826
"Notorious BCG","Big Kahuna Pillar > French Cattle Ranch > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/110798697/notorious-bcg,2.0,-1,Sport,"5.10b/c PG13",1,50,44.1479,-107.2578
Unpredictable,"The Maze  (aka Amaze-ing) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/109587325/unpredictable,2.5,-1,Trad,5.10b/c,1,60,41.18017,-105.32848
Riptide,"The Gully Wall, AKA Dr. Seuss Wall > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/107807018/riptide,2.5,-1,Sport,5.10b/c,1,70,44.5086,-109.1719
"Swordfish Lipstick","(c) East Sector > Rock Springs Buttress > Jackson Hole > Wyoming",https://www.mountainproject.com/route/114803637/swordfish-lipstick,2.4,-1,"Sport, Alpine","5.10b/c PG13",3,300,43.58507,-110.86609
"Group Grope","Sandstone Buttress > The Sandstone > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/107543442/group-grope,2.3,-1,Trad,5.10b/c,2,200,42.75846,-108.79839
"Red Dog","The Love Shack > Fremont Canyon > Wyoming",https://www.mountainproject.com/route/105829725/red-dog,1.8,-1,Sport,5.10b/c,1,40,42.46632,-106.82856
"Shink Schock","Cloud Peak SE Cirque Faces > Cloud Peak Wilderness Area > Wyoming",https://www.mountainproject.com/route/108770772/shink-schock,2.0,-1,"Trad, Alpine",5.10b/c,4,400,44.37841,-107.16964
"Unknown 10b/c","East End > Curtis Canyon > Jackson Hole > Wyoming",https://www.mountainproject.com/route/119457298/unknown-10bc,2.0,-1,Sport,5.10b/c,1,60,43.52,-110.65897
"Spaten Lager","The Bird Wall > Wilson Canyon > Jackson Hole > Wyoming",https://www.mountainproject.com/route/124690248/spaten-lager,2.5,-1,Sport,5.10b/c,1,45,43.43132,-110.75484
"Yip Yip","Tash's Lookout > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/125120170/yip-yip,3.0,-1,Sport,5.10b/c,1,35,41.22151,-105.32275
"Self-Perpetuating Autocracy","Excalibur > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/125135345/self-perpetuating-autocracy,3.0,-1,Sport,5.10b/c,1,45,42.59789,-108.75183
