Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Last Man Standing","A. Rising From the Plains > The Main Wall > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/106543033/last-man-standing,3.5,-1,Sport,5.13-,1,35,42.5851,-108.7375
"Scotty Don't","Powers Wall > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/119176028/scotty-dont,3.6,-1,Sport,5.13-,1,95,44.08855,-107.29199
"Weasel Power","The Weasel Corner > Dry Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/112163153/weasel-power,4.0,-1,Sport,5.13-,1,70,44.0968,-107.2916
"Spatial Relations","Reynolds Hill > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/115176029/spatial-relations,4.0,-1,Trad,"5.13- R",1,45,41.17386,-105.35395
"Mr. Wong Burger","Spaghetti aka Third Lost Wall > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106031930/mr-wong-burger,4.0,-1,Boulder,"5.13- V7",1,,41.17669,-105.39101
Sayanora,"The Goat Cave > Jackson Hole > Wyoming",https://www.mountainproject.com/route/112324720/sayanora,4.0,-1,Sport,5.13-,1,,43.19811,-110.92389
"SW side","Boulder Island > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/110926337/sw-side,4.0,-1,"TR, Alpine",5.13-,1,45,43.7991,-110.7276
"The Throne","Killer Cave > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/106182853/the-throne,3.4,-1,Sport,5.13-,1,90,42.74193,-108.83178
"Bong and a Blintz","Powers Wall > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/119786407/bong-and-a-blintz,3.0,-1,Sport,5.13-,1,90,44.08855,-107.29199
"Miracle Max","The Pit of Despair > Mecca > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/113383972/miracle-max,3.0,-1,Sport,5.13-,1,75,44.13801,-107.23282
"The Gaff","Mount Hooker > Baptiste Lake > Wind River Range > Wyoming",https://www.mountainproject.com/route/118806691/the-gaff,3.0,-1,"Trad, Alpine","5.13- PG13",15,1800,42.85573,-109.30769
"Jesus Take the Wheel aka Diamond in the Rough EXT","The Goat Cave > Jackson Hole > Wyoming",https://www.mountainproject.com/route/113413715/jesus-take-the-wheel-aka-diamond-in-the-rough-ext,3.5,-1,Sport,5.13-,1,,43.19811,-110.92389
"Blessed Black Wings","5. The Bubble > 3. Fairfield West > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/107043779/blessed-black-wings,3.0,-1,Sport,5.13-,1,55,42.73975,-108.85342
"Peanut Butter Demons","The Temple > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/123856842/peanut-butter-demons,2.0,-1,Sport,5.13-,1,60,44.14391,-107.23197
"Strictly 4 my Crackas","The Temple > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/123856871/strictly-4-my-crackas,2.0,-1,Sport,5.13-,1,40,44.14391,-107.23197
Moonrise,"The Dragons Den > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/124015136/moonrise,3.0,-1,Sport,5.13-,1,80,44.50753,-109.1764
